"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Alpha_layer0","Alpha_layer1","Alpha_layer2","Alpha_layer3","Batch_size","Beta_layer0","Beta_layer1","Beta_layer2","Beta_layer3","Gamma_layer0","Gamma_layer1","Gamma_layer2","Gamma_layer3","Model_Name","architecture","dataset","epochs","learning_rate","momentum","noise_param","noise_type","timesteps","Accuracy","Time Taken to Run the Code(Mins)","Timestep","chance_level"
"Gamma_layer_1_perturbation_0.53_sp_0.00","finished","-","","","2025-07-04T14:14:44.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.53","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","59.09","0.2808307925860087","10","10"
"Beta_layer1_perturbation_0.53_gauss_0.40","finished","-","","","2025-07-04T15:37:09.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.13","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","42.36","0.2745393474896749","10","10"
"Gamma_layer_2_perturbation_0.53_gauss_0.00","finished","-","","","2025-07-04T14:40:47.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.53","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","67.35","0.2736128091812134","10","10"
"Gamma_layer_3_perturbation_0.13_gauss_0.80","finished","-","","","2025-07-04T15:05:12.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.13","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","31.44","0.270997420946757","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.20","finished","-","","","2025-07-04T15:53:07.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.13","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","61.93","0.27193413575490316","10","10"
"Gamma_layer_3_perturbation_0.23_gauss_0.80","finished","-","","","2025-07-04T15:05:35.000Z","18","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.23","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","32.01","0.28819567362467446","10","10"
"Gamma_layer_2_perturbation_0.13_sp_0.06","finished","-","","","2025-07-04T14:37:12.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.13","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","32.6","0.2734355449676514","10","10"
"Gamma_layer_1_perturbation_0.13_sp_0.02","finished","-","","","2025-07-04T14:15:08.000Z","18","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.13","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","51.33","0.29437122742335003","10","10"
"Gamma_layer_0_perturbation_0.43_sp_0.02","finished","-","","","2025-07-04T13:58:07.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.43","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","53.17","0.27730416854222617","10","10"
"Gamma_layer_1_perturbation_0.53_gauss_0.60","finished","-","","","2025-07-04T14:28:47.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.53","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","36.33","0.2763809601465861","10","10"
